driverId,week,hours-logged,miles-logged
19,46,76,1700
54,4,70,3100
77,5,60,700
97,29,68,3200
32,48,50,2800
87,33,69,1600
11,12,72,1300
55,35,66,200
87,12,51,300
78,11,62,2000
28,52,75,1800
27,48,56,1400
41,2,61,0
33,37,69,1000
88,21,70,2200
89,37,58,1200
33,45,54,2700
72,19,70,900
21,44,60,700
31,33,76,1600
103,22,52,3000
55,26,79,1900
14,29,68,2500
71,19,63,1500
62,30,65,100
61,14,57,2500
35,26,50,3400
69,49,55,3600
53,18,67,200
31,47,60,2100
103,1,54,900
109,46,65,2800
92,52,67,2000
75,14,67,1800
16,31,74,3600
60,33,73,600
96,20,73,3200
24,16,63,1000
89,7,58,1100
37,9,62,200
70,50,79,1000
40,1,67,900
32,42,75,3200
59,30,75,1800
100,43,69,200
66,18,57,1400
43,29,60,3400
33,3,67,100
23,11,79,3000
50,39,73,200
96,28,77,200
50,27,55,1600
86,15,72,100
104,2,69,1400
77,30,76,2900
31,50,55,2300
32,25,67,3400
11,33,56,3100
53,31,79,3400
71,31,64,2300
75,23,80,3100
107,19,65,3200
17,17,66,2500
42,30,69,1500
14,25,80,2000
77,21,65,1500
11,20,61,600
33,40,79,700
88,25,52,1500
54,43,59,1900
63,33,53,1700
25,35,75,2000
37,12,69,400
40,19,55,3400
88,25,72,1000
32,14,53,3200
88,34,60,1200
43,22,58,1200
89,52,56,200
95,33,57,2700
21,49,69,2800
44,46,60,300
48,36,79,900
19,8,72,700
32,41,73,3500
63,12,78,3300
46,50,76,1600
60,50,53,300
92,20,77,2400
73,29,50,700
75,47,75,3500
92,11,75,3700
46,11,58,1400
72,45,73,3100
64,8,51,3900
76,45,59,2800
55,10,51,2800
103,27,56,3900
12,10,68,3100
31,29,67,1100
22,15,63,2100
99,40,72,2500
80,28,53,2900
30,7,50,2600
83,8,64,1800
69,13,67,2300
46,39,52,1500
65,42,52,200
17,5,61,3000
57,3,67,800
43,33,54,2400
16,13,51,700
46,52,79,1700
81,4,75,3000
68,48,64,3900
56,30,67,1800
53,23,53,1500
37,29,56,200
17,7,71,3600
104,17,58,900
62,12,70,1300
25,15,66,3400
104,49,54,300
20,22,65,2100
87,9,73,900
98,17,56,2100
46,3,53,1200
50,9,64,100
106,18,52,1900
35,33,60,3000
74,32,64,2100
24,49,66,2100
106,25,71,300
50,20,52,600
10,41,51,3300
78,18,67,2800
36,43,65,400
82,8,66,4000
83,17,57,1500
47,4,76,1200
54,46,78,3200
99,44,50,1200
69,43,71,3700
36,36,68,2700
89,21,72,100
42,37,53,1000
88,9,76,3900
76,15,67,1700
89,49,69,500
39,30,51,800
52,27,74,3400
77,18,72,1700
56,15,53,1800
88,47,63,2900
45,18,79,3900
47,52,71,500
71,8,54,100
72,52,70,2600
107,9,67,900
37,45,63,1200
32,39,79,2700
90,29,70,3700
93,30,50,300
78,21,56,200
58,52,69,2100
84,49,62,1700
68,25,64,3300
24,22,51,2200
94,34,52,2600
102,46,69,2100
82,39,67,3900
97,36,53,1400
72,43,68,100
39,33,78,1300
69,5,53,300
71,23,70,1700
24,7,67,300
40,34,80,2800
95,18,65,1500
66,11,51,1800
